項次,機構類別,機構名稱,機構代碼,地址,負責人,電話
204,西醫診所,福康診所,3522013406,嘉義市東區頂庄里新生路683號1、2樓,甘宗本,05-2715688
205,西醫診所,周裕軒身心醫學診所,3522013415,嘉義市東區民樂街141號1樓民樂街141號1樓,周裕軒,05-2229823
206,西醫診所,禾宜婦幼診所,3522013424,嘉義市東區林森西路95號嘉義市東區林森西路95號,呂政忠,2769449
207,西醫診所,廖學儒耳鼻喉科診所,3522013451,嘉義市東區中山路84號中山路84號,廖學儒,2779070
208,西醫診所,尚美整形外科診所,3522013479,嘉義市東區興中街145號1樓及2樓,楊文圭,
209,西醫診所,洪文泓診所,3522013488,嘉義市東區林森東路470巷6號,洪文泓,2766266
210,西醫診所,怡康診所,3522013497,嘉義市東區林森東路496號,徐焜彥,2770236
211,西醫診所,蕭正誠診所,3522013504,嘉義市東區公明路34號之4,蕭正誠,2788938
212,西醫診所,祐健診所,3522013513,嘉義市東區民族路268巷7號3樓,王豐治,2233438
213,西醫診所,昆德診所,3522013522,嘉義市東區林森東路287號,蘇振綸,05-2788750
214,西醫診所,和威診所,3522013531,嘉義市東區中正路112-2號,何威德,
215,西醫診所,興業耳鼻喉科診所,3522013540,嘉義市東區興業東路60號,蘇熙淵,05-2759591
216,西醫診所,玉貴人整形外科診所,3522013568,嘉義市東區民族路76-1號2樓,朱純慧,05-2775050
217,西醫診所,臺中榮民總醫院嘉義分院附設門診部,2622010013,嘉義市東區吳鳳北路35巷4號,林馥郁,05 2712145
218,西醫診所,侯耳鼻喉科診所,3522010012,嘉義市東區公明路３０１號,侯林明珠,05 2222893
219,西醫診所,江昇洸診所,3522010067,嘉義市東區民權路２７９之１號,江昇洸,05 2258717
220,西醫診所,德洋診所,3522010209,嘉義市東區民權路１９０之１號,曾滄洋,05 2784903
221,西醫診所,潘內兒科診所,3522010236,嘉義市東區公明路３５２號,潘俊雄,05 2284757
222,西醫診所,陳顯章骨科診所,3522010245,嘉義市東區公明路３４２號,陳顯章,05 2253669
223,西醫診所,蔡耳鼻喉科診所,3522010254,嘉義市東區仁和里中山路２７０號,蔡榮茂,05 2222602
224,西醫診所,劉耳鼻喉科診所,3522010343,嘉義市東區民權路３２２之２號,劉國昇,05 2786915
225,西醫診所,何義明內兒科診所,3522010469,嘉義市東區文昌里文昌街１０９號,何義明,05 2226588
226,西醫診所,柯明裕家庭醫學科診所,3522010496,嘉義市東區吳鳳南路１１號,柯明裕,05 2237578
227,西醫診所,黃國榮內兒科診所,3522010558,嘉義市東區公明路２８３號,黃國榮,05 2224026
228,西醫診所,順安診所,3522010585,嘉義市東區公明路１９３號,林明敏,05 2276911
229,西醫診所,林信義內兒科診所,3522010647,嘉義市東區中正路３１３號,林信義,05 2251025
230,西醫診所,明生內兒科診所,3522010683,嘉義市東區吳鳳南路６０５號,陳明生,05 2398542
231,西醫診所,黃銘模診所,3522010692,嘉義市東區中正路３７４號,黃銘模,05 2247873
232,西醫診所,陳俊雄婦產科外科診所,3522010709,嘉義市東區鎮南里民族路２４８號,陳俊雄,05 2221506
233,西醫診所,俊清外科診所,3522010727,嘉義市東區興業東路２０７號,李俊清,05 2258464
234,西醫診所,張家庭醫學科診所,3522010745,嘉義市東區民權路９６之１號,張始鵬,05 2783208
235,西醫診所,懷恩診所,3522010754,嘉義市東區興中街１３７號,何義民,05 2277711
236,西醫診所,楊振榮內兒科診所,3522010772,嘉義市東區東興里忠孝路１７８號,楊振榮,05 2223254
237,西醫診所,福音聯合診所,3522010852,嘉義市東區吳鳳北路340號,陳偉順,05 2782036
238,西醫診所,鄭眼科診所,3522010861,嘉義市東區吳鳳北路２３９號,鄭尚仁,05 2226086
239,西醫診所,文祥小兒科診所,3522010923,嘉義市東區民權路３００之４號,張文祥,05 2770777
240,西醫診所,華山診所,3522010950,嘉義市東區吳鳳北路１５１號,顏福源,05 2248777
241,西醫診所,陳文勝診所,3522011019,嘉義市東區新開里垂揚路３３號,陳文勝,05 2256789
242,西醫診所,葉弘貴小兒科診所,3522011028,嘉義市東區仁和里中山路２５３號,葉弘貴,05 2253863
243,西醫診所,孫小兒科診所,3522011046,嘉義市東區吳鳳北路２８９號,孫凱智,05 2222829
244,西醫診所,石內科診所,3522011073,嘉義市東區吳鳳南路６８７之２號,石清楨,05 2301883
245,西醫診所,蘇婦產科診所,3522011162,嘉義市東區府路里蘭井街１７３之１號,蘇賢傑,05 2231886
246,西醫診所,宋思權診所,3522011171,嘉義市東區吳鳳北路３０９號,宋思權,05 2286698
247,西醫診所,莊凱全小兒科診所,3522011279,嘉義市東區民權路１０之1號,莊凱全,05 2769658
248,西醫診所,華陽診所,3522011304,嘉義市東區檜村里忠孝路２８４之２號,邱劍華,05 2754038
249,西醫診所,蘇耳鼻喉科診所,3522011322,嘉義市東區宣信里垂楊路１７１號,蘇明忠,05 2237078
250,西醫診所,安男診所,3522011340,嘉義市東區吳鳳北路２５１號,張安男,05 2224707
251,西醫診所,張森榮診所,3522011377,嘉義市東區延平街１０２號,張森榮,05 2275086
252,西醫診所,彭診所,3522011402,嘉義市東區東仁里中山路１６５號,彭玄君,05 2233406
253,西醫診所,活石診所,3522011519,嘉義市東區忠孝路362之1號,陳欽朋,05 2761596
254,西醫診所,林裕益婦產科診所,3522011546,嘉義市東區橧村里忠孝路３４０．３４２號,林裕益,05 2778801
255,西醫診所,黃崇銘診所,3522011564,嘉義市東區新生路361號,黃崇銘,05 2777686
256,西醫診所,德珍婦產科診所,3522011573,嘉義市東區吳鳳北路３３９號,吳松年,05 2755339
257,西醫診所,吳長宗診所,3522011617,嘉義市東區光華路2之1號,吳長宗,05 239036
258,西醫診所,郭文吉神經科診所,3522011635,嘉義市東區吳鳳北路一九九號,郭文吉,05 2239365
259,西醫診所,郭健軍皮膚科診所,3522011680,嘉義市東區仁和里中山路２８４號,郭健軍,05 2273836
260,西醫診所,何光哲小兒科診所,3522011699,嘉義市東區新生路３０９號,何光哲,05 2766878
261,西醫診所,嘉恩診所,3522011742,嘉義市東區興業東路237號1樓、２樓,沈明哲,05 2288092
262,西醫診所,宏醫診所,3522012794,嘉義市東區民族路309.311號,葉慧宗,2254868
263,西醫診所,趙祥凱皮膚科診所,3522012801,嘉義市東區興南里垂楊路209號,趙祥凱,05 2246236
264,西醫診所,信安診所,3522012838,嘉義市東區民權路二七八號,陳浩光,05-2785681
265,西醫診所,黃世斌小兒科診所,3522012856,嘉義市東區博東路47號,黃世斌,05-2710271
266,西醫診所,王診所,3522012945,嘉義市東區公明路131號,王源祥,05-2276563
267,西醫診所,長鴻診所,3522012972,嘉義市東區民權路322號,李長鴻,05-2782113
268,西醫診所,吳國君診所,3522013004,嘉義市東區吳鳳北路四三三號一樓,吳國君,52283298
269,西醫診所,李培源聯合診所,3522013013,嘉義市東區中山路175號,李培源,05-2222075
270,西醫診所,黃傳益婦產科診所,3522013022,嘉義市東區林森東路45號,黃傳益,05-2776306
271,西醫診所,欣升診所,3522013077,嘉義市東區新生路651號一樓,鄭勵惟,05-2765538
272,西醫診所,許小兒科診所,3522013086,嘉義市東區和平路二十二號,許玉蟾,05-2280858
273,西醫診所,林仙明診所,3522013095,嘉義市東區大雅路二段599號,林仙明,05-2770233
274,西醫診所,郭俊鋐診所,3522013102,嘉義市東區彌陀路二六二號,郭俊鋐,05-2771893
275,西醫診所,聖心診所,3522013111,嘉義市東區民權路367號一樓,魏柏煌,05-2224800
276,西醫診所,嘉義市東區衛生所,2322010017,嘉義市東區東川里大雅路２段６２５號,林唐逵,05-2750423
277,牙醫診所,重安牙醫診所,3722020021,嘉義市西區社內里民生北路２６０號,王兆平,05 2254669
278,牙醫診所,隆顯牙醫診所,3722020058,嘉義市西區光路里新民路５７３號,蘇隆顯,05 2858577
279,牙醫診所,奉天牙醫診所,3722020076,嘉義市西區仁愛路５４８號,吳建綱,05 2247525
280,牙醫診所,僑倫牙醫診所,3722020101,嘉義市西區民族路６５８號,蔡瑛璋,05 2246715
281,牙醫診所,翁牙醫診所,3722020156,嘉義市西區光彩街４６１號,翁富雄,05 2281918
282,牙醫診所,憲昇牙醫診所,3722020165,嘉義市西區自強里興業西路２４８號,楊憲昇,05 2852043
283,牙醫診所,柳牙醫診所,3722020174,嘉義市西區北榮里文華街１號,柳文章,05 2320634
284,牙醫診所,仁安牙醫診所,3722020192,嘉義市西區國華街２２２之３號,謝炎銘,05 2234118
285,牙醫診所,莊牙醫診所,3722020218,嘉義市西區府路里忠義街６４號,莊東浦,05 2235922
286,牙醫診所,王柏東牙醫診所,3722020236,嘉義市西區民權路４５３號,王柏東,05 2231821
287,牙醫診所,李芳美牙醫診所,3722020272,嘉義市西區長榮街３２７號,李芳美,05 2225290
288,牙醫診所,慈生牙醫診所,3722020343,嘉義市西區慶昌里博愛路一段４１１之５號,黃鉅昌,05 2334209
289,牙醫診所,新民牙醫診所,3722020352,嘉義市西區新民路８３８號,賀守德,05 2851179
290,牙醫診所,樺昌牙醫診所,3722020361,嘉義市西區民生北路61號,胡毓釗,05 2249695
291,牙醫診所,頂好牙醫診所,3722020370,嘉義市西區民生南路二九四號五樓之二,舒瓊明,05 2856261
292,牙醫診所,歐牙醫診所,3722020389,嘉義市西區仁愛路４７８號,歐明憲,05 2247222
293,牙醫診所,明仁堂牙醫診所,3722020405,嘉義市西區福民里興業西路２９５號,高曼齡,05 2362726
294,牙醫診所,新生牙醫診所,3722020414,嘉義市西區民生北路97號1樓,鄭景文,05 2291298
295,牙醫診所,佑寧牙醫診所,3722020423,嘉義市西區民安里中正路７１８號,吳建鋒,05 2241402
296,牙醫診所,丞泰牙醫診所,3722020450,嘉義市西區學圃里民生北路５４號,李崇耀,05 2256400
297,牙醫診所,佑群牙醫診所,3722020469,嘉義市西區新民路６９９號,許文曉,05 2362970
298,牙醫診所,培元牙醫診所,3722020487,嘉義市西區垂楊里垂楊路５１７號２樓,陳培元,05 2358188
299,牙醫診所,上林牙醫診所,3722020496,嘉義市西區林森西路５３０號,郭漢聰,05 2255478
300,牙醫診所,統一牙醫診所,3722020549,嘉義市西區八德路３７號,陳坤財,05 2340803
301,牙醫診所,協力牙醫診所,3722020567,嘉義市西區德安路４９號,陳保光,05 2324825
302,牙醫診所,天台牙醫診所,3722020576,嘉義市西區民族路五五八號,陳景居,05 2238052
303,牙醫診所,安麗牙醫診所,3722020594,嘉義市西區褔民里興業西路４０３號一樓,賴榮燦,05 2868055
304,牙醫診所,德安祥牙醫診所,3722020610,嘉義市西區北興街257號,陳釗源,05 2810691
305,牙醫診所,超群牙醫診所,3722020629,嘉義市西區友愛路５６３號,池建勳,05 2811586
306,牙醫診所,慶宏牙醫診所,3722020638,嘉義市西區北興街１３９號,張宏旭,05 2314407
307,牙醫診所,澤任大維牙醫診所 T.Z. DENTWAY,3722020647,嘉義市西區仁愛路349號1樓,羅大維,05 2278625
308,牙醫診所,中心牙醫診所,3722021706,嘉義市西區新榮路191號,林俊成,
309,牙醫診所,博眾牙醫診所,3722021715,嘉義市西區民生南路391號,湯欽仰,05-2835186
310,牙醫診所,吳鴻宜牙醫診所,3722021733,嘉義市西區中山路378號1、2樓,吳鴻宜,05-2162166
311,牙醫診所,中興牙醫診所,3722021742,嘉義市西區中興路297號,張桂模,05-2329197
312,牙醫診所,林森牙醫診所,3722021751,嘉義市西區林森西路201號,蘇進敏,05-2237098
313,牙醫診所,魏牙醫診所,3722021760,嘉義市西區興業西路七十八號一樓,魏春智,05-2289157
314,牙醫診所,佳品牙醫診所,3722021779,嘉義市西區南京路586號一樓,曾麒毓,05-2861660
315,牙醫診所,品雅牙醫診所,3722021788,嘉義市西區南京路97號,蔡銀華,05-2841616
316,牙醫診所,育瑄牙醫診所,3722021797,嘉義市西區民生南路510巷27號1樓,張玉華,05-2852108
317,牙醫診所,健雅牙醫診所,3722021804,嘉義市西區中興路446號,林育賢,05-2841082
318,牙醫診所,晴亮牙醫診所,3722021831,嘉義市西區興業西路236號1至2樓,李政勳,05-2865888
319,牙醫診所,得恩牙醫診所,3722021859,嘉義市西區福民里南京路468號1樓,李兆禧,05-2869689
320,牙醫診所,健福牙醫診所,3722021877,嘉義市西區八德路227號2樓,姚秀美,05-2325288
321,牙醫診所,格林牙醫診所,3722021886,嘉義市西區興業西路38號1樓,楊哲榮,05-2222777
322,牙醫診所,創新牙醫診所,3722021895,嘉義市西區中興路37號1、2樓,蔡凱多,2320022
323,牙醫診所,光禾牙醫診所,3722021902,嘉義市西區民生北路294號1樓,朱英彰,05-2288256
324,牙醫診所,唐亨牙醫診所,3722021911,嘉義市西區北榮里文化路428號,唐舶書,05-2347000
325,牙醫診所,勤美牙醫診所,3722021920,嘉義市西區新富里垂楊路506號,張淵智,05-2234755
326,牙醫診所,馬可牙醫診所,3722021939,嘉義市西區中正路436號,王泰翔,2245536
327,牙醫診所,長春牙醫診所,3722021948,嘉義市西區西區保安二路58號,林昇澤,05-2320528
328,牙醫診所,童心親子牙科診所,3722021957,嘉義市西區垂楊路436、438號1樓,胡文嘉,05-2258068
329,牙醫診所,現代牙醫診所,3722010356,嘉義市東區初陽里成仁街１號,李國貞,05 2259251
330,牙醫診所,上揚牙醫診所,3722010383,嘉義市東區吳鳳南路２１５號,蔡元愷,05 2292546
331,牙醫診所,蘇世忠牙醫診所,3722010409,嘉義市東區林森東路４１４號,蘇世忠,05 2786469
332,牙醫診所,高正川牙醫診所,3722010418,嘉義市東區民族路95號1樓、９７號２樓之２,高正川,05 2750055
333,牙醫診所,敦眾牙醫診所,3722010463,嘉義市東區府路里蘭井街１７３號,許書銘,05 2252586
334,牙醫診所,專佳牙醫診所,3722010472,嘉義市東區新生路７８９號,吳耀宗,05 2773507
335,牙醫診所,靚美牙醫診所,3722010481,嘉義市東區民國路２４５號,廖悅蘭,05 2781010
336,牙醫診所,宏恩牙醫診所,3722010490,嘉義市東區北城里忠孝路１８３號,陳美玲,05 2762876
337,牙醫診所,芳榮牙醫診所,3722010507,嘉義市東區蘭井里忠孝路６８號,池泉三,05 2232729
338,牙醫診所,慈德牙醫診所,3722010516,嘉義市東區新店里義教街８號,陳大川,05 2773372
339,牙醫診所,佳音牙醫診所,3722010525,嘉義市東區中山路201號4樓,孫茂彬,05 2235242
340,牙醫診所,加恩牙醫診所,3722010534,嘉義市東區新開里市宅街１８之１號,簡宏榮,05 2283815
341,牙醫診所,黃于修牙醫診所,3722010543,嘉義市東區興中街１５４號,黃于修,05 2285390
342,牙醫診所,正典牙醫診所,3722010552,嘉義市東區大雅路二段576號,王蒨芬,05 2769955
343,牙醫診所,協志牙醫診所,3722010561,嘉義市東區中正路３４１號,何嘉雄,05 2221111
344,牙醫診所,張耿榮牙醫診所,3722010589,嘉義市東區中央里光華路８５號,張耿榮,05 2226829
345,牙醫診所,理想牙醫診所,3722010598,嘉義市東區龍山里民族路132號,呂佳淳,05 2778800
346,牙醫診所,陳丕修牙醫診所,3722010614,嘉義市東區中山路51號1-2樓,陳丕修,05 2779901
347,牙醫診所,尚亨牙醫診所,3722010632,嘉義市東區林森東路290號,黃淳,05 2750745
348,牙醫診所,佳德牙醫診所,3722010650,嘉義市東區吳鳳南路五０一號,梁金成,05 2273676
349,牙醫診所,和興牙醫診所,3722010669,嘉義市東區吳鳳南路５７７－１號１樓,游宗府,05 2309908
350,牙醫診所,黃文政牙醫診所,3722010678,嘉義市東區東噴里中山路102號,黃文政,05 2757981
351,牙醫診所,德明牙醫診所,3722010687,嘉義市東區龍山里文昌街４８號,潘德明,05 2238823
352,牙醫診所,大佳牙醫診所,3722010696,嘉義市東區吳鳳南路３５５號,林威州,05 2248579
353,牙醫診所,慧安牙醫診所,3722011700,嘉義市東區興中街145-1號1樓,謝中興,05 2716200
354,牙醫診所,蕭嘉成牙醫診所,3722011719,嘉義市東區北榮街89號,蕭嘉成,2221990
355,牙醫診所,董牙醫診所,3722011728,嘉義市東區民族路186號,董俊麟,05-2782156
356,牙醫診所,宜家牙醫診所,3722011737,嘉義市東區興業東路78號1樓,林俊宏,05-2160689
357,牙醫診所,陳興國牙醫診所,3722011764,嘉義市東區五福街65號,陳興國,05-2781019
358,牙醫診所,詮承牙醫診所,3722011782,嘉義市東區忠孝路284號之5號,張耀仁,05-2771299
359,牙醫診所,安誼牙醫診所,3722011791,嘉義市東區嘉北街24號1樓,黃俊遠,05-2763757
360,牙醫診所,吳宗儒牙醫診所,3722011888,嘉義市東區初陽里興中街68之2號1樓,吳宗儒,05-2290578
361,牙醫診所,渥爾牙醫診所,3722011808,嘉義市東區忠孝路366號1、2、3樓,簡士智,05-2763797
362,牙醫診所,百立牙醫診所,3722011817,嘉義市東區忠孝路376號1、2樓,陳百立,05-2765752
363,牙醫診所,柯立心牙醫診所,3722011826,嘉義市東區大雅路二段460號1、２樓,柯立心,2758777
364,牙醫診所,王牙醫診所,3722011835,嘉義市東區蘭井街239號,王溫成,963413789
365,牙醫診所,正大牙醫診所,3722011844,嘉義市東區民權路190號,何嘉謨,2780261
366,牙醫診所,維欣牙醫診所,3722011853,嘉義市東區維新路125號1-2樓、127號1-2樓,邱國杰,05-2715789
367,牙醫診所,幸福牙醫診所,3722011860,嘉義市東區軍輝路218號1、2樓,謝志青,05-2398022
368,牙醫診所,好亮牙醫診所,3722011879,嘉義市東區林森東路428號之1一樓,賴重志,05-2789922
369,牙醫診所,優格牙醫診所,3722011899,嘉義市東區中山路134號1樓,林忠毅,05-2168168
370,牙醫診所,協和牙醫診所,3722011906,嘉義市東區吳鳳北路359號1樓 ,蘇安立,2715211
371,牙醫診所,人文新境牙醫診所,3722011915,嘉義市東區大雅路一段606號1、2樓,吳帛霓,05-2763456
372,牙醫診所,楊子立牙醫診所,3722011924,嘉義市東區東噴裡公明路160號,楊子立,05-2750017
373,牙醫診所,敦美牙醫診所,3722011933,嘉義市東區博東路41號,陳炫霖,05-2768053
374,牙醫診所,親親牙醫診所,3722010016,嘉義市東區民國路１９０號,鄭輝雄,05 2788278
375,牙醫診所,杏林牙醫診所,3722010034,嘉義市東區吳鳳北路１４７號,李宗沂,05 2278218
376,牙醫診所,美德牙醫診所,3722010043,嘉義市東區仁和里成仁街１８５號２樓,曾培祐,05 2229925
377,牙醫診所,正安牙醫診所,3722010052,嘉義市東區文化路４３６號,林俊樑,05 2321476
378,牙醫診所,林惠生牙醫診所,3722010070,嘉義市東區中正路１６１號,林惠政,05 2276694
379,牙醫診所,李牙醫診所,3722010089,嘉義市東區公明路３２２號,李長明,05 2221797
380,牙醫診所,張牙醫診所,3722010105,嘉義市東區長榮街１０２號,張東泉,05 2786736
381,牙醫診所,邱牙醫診所,3722010114,嘉義市東區民權路２０８之４號,邱耀章,05 2784420
382,牙醫診所,兄弟牙醫診所,3722010132,嘉義市東區仁武里中山路２１６號,林廷松,05 2289054
383,牙醫診所,泰安牙醫診所,3722010178,嘉義市東區興中街２８號,張瑞峰,05 2238642
384,牙醫診所,仁一牙醫診所,3722010187,嘉義市東區新生路７１１號,鄭智仁,05 2776076
385,牙醫診所,林牙醫診所,3722010196,嘉義市東區興中街２０２號,林正峰,05 2782185
386,牙醫診所,周牙醫診所,3722010203,嘉義市東區彌陀路２５６號,周冠宏,05 2771535
387,牙醫診所,平安牙醫診所,3722010212,嘉義市東區新開里垂楊路８９號２樓之１,諶祖銘,05 2287779
388,牙醫診所,誠一牙醫診所,3722010221,嘉義市東區光彩街４００號,吳佩芬,05 2256666
389,牙醫診所,大義嘉牙醫診所,3722010230,嘉義市東區吳鳳南路１１７之１號,莊滄濤,05 2254012
390,牙醫診所,嘉興牙醫診所,3722010258,嘉義市東區和平路１４７號,李明峻,05 2251987
391,牙醫診所,嘉和牙醫診所,3722010267,嘉義市東區安平里成仁街７６號,游瑞楠,05 2281926
392,牙醫診所,第一牙醫診所,3722010276,嘉義市東區興中街９８之１號,江武德,05 2277375
393,牙醫診所,大華牙醫診所,3722010285,嘉義市東區公明路２５６號,郭宏仁,05 2284769
394,牙醫診所,聯合牙醫診所,3722010294,嘉義市東區東噴里中山路６５號,何嘉欽,05 2784396
395,牙醫診所,慶華牙醫診所,3722010329,嘉義市東區安和街２４６號,謝慶達,05 2784452
396,牙醫診所,輔仁牙醫診所,3722010338,嘉義市東區吳鳳南路２５８號,侯立昀,05 2238117
397,醫療機構,衛生福利部嘉義醫院,122020517,嘉義市西區北港路312號,,
398,醫療機構,臺中榮民總醫院嘉義分院,622020017,嘉義市西區劉厝里世賢路二段６００號,,
399,醫療機構,仁德醫療社團法人陳仁德醫院,922020013,嘉義市西區林森西路285號,,
400,醫療機構,慶昇醫療社團法人慶昇醫院,922020022,嘉義市西區新榮路339、339-1號,,
401,醫療機構,盧亞人醫院,1522021175,嘉義市西區民權路四０六號,,
402,醫療機構,安心醫院,1522021264,嘉義市西區新民路88號,,
403,醫療機構,世華醫院,1522021237,嘉義市西區仁愛路365號,,
404,醫療機構,祥太醫院,1522021273,嘉義市西區書院里延平街490號  永和街116號,,
405,醫療機構,戴德森醫療財團法人嘉義基督教醫院,1122010012,"嘉義市東區中庄里忠孝路５３９號；
東區後湖里保建街100號；
東區頂庄里忠孝路642號",,
406,醫療機構,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,1122010021,嘉義市東區短竹里大雅路二段565號,,
407,醫療機構,建興醫院,1522011080,嘉義市東區內安里中山路１４８號,,
408,醫療機構,陽明醫院,1522011115,嘉義市東區吳鳳北路252號,,
